identifier	peak	amplitude	location	scale	skewness	baseline	mode	height	fwhm	confidence	method	r_squared
1-20231116_BY4742_30C.csv	free	9.897458351272501	1.1228463060642142	3.537001885858505	4.999999999999949	2.8080886176415422e-16	3.8901618544103362	1.6439374029956748	12.494459161795126	1.0	detected	0.9276755475581993
1-20231116_BY4742_30C.csv	80S	0.9875604805065581	27.075625491916476	1.9410815325837494	4.4650823161317446	0.06209571620622882	28.58694572426595	0.3618132301759172	6.612346427595142	1.0	detected	0.9960878492651895
1-20231116_BY4742_30C.csv	40S	0.47445635411031456	13.150000000000002	3.9999999999999996	-0.9980413560193572	0.054480276655607965	15.15	0.08027807847095507	10.360154957370233	1.0	detected	0.8607063964658608
1-20231116_BY4742_30C.csv	60S	0.07511185584243738	21.782240404664336	1.3823978348776633	2.3732911131805783	0.05557612093065098	22.798688343503812	0.08732056460763432	4.028182954037973	1.0	detected	0.7397852557650535
1-20231116_BY4742_30C.csv	2-some	0.07433421988008533	37.1690988814811	1.3912895332950574	2.2520907772367824	0.05418400850858571	38.18366582024187	0.08521821111271059	4.014381432777029	1.0	detected	0.9815190600494286
1-20231116_BY4742_30C.csv	3-some	0.0789102509047336	44.04254944060418	1.6908589996548415	3.4013847963075667	0.052404430348693604	45.33688125832156	0.08005581445147766	5.3363951673537775	1.0	detected	0.9823038654238397
1-20231116_BY4742_30C.csv	4-some	0.03677406360988582	49.73579342176903	1.1723664603227337	2.5410691096144262	0.06129446621376436	50.60622956073637	0.0797304051925661	3.46249263256519	1.0	detected	0.7355355178753507
1-20231116_BY4742_30C.csv	5-some	0.005847863160464831	58.35724427558067	0.46690944072431995	0.699668772730475	0.06952918369633143	58.57081398110186	0.07515933208636208	1.1765053333949038	1.0	detected	0.2152834581935813
10-20240419_BY4742_40.csv	free	3.251749855624203	1.018364081766378	1.7085127647240477	4.999999999999999	0.1351884483940772	2.3550876942902925	1.2533274258521196	6.035321341387698	1.0	detected	0.9822303157758181
10-20240419_BY4742_40.csv	80S	1.1907546701197458	23.391903118933534	2.156285851951361	4.037353597937212	0.09010018765560562	25.061906375498218	0.41625411712598237	7.128242809567612	1.0	detected	0.9996472674488878
10-20240419_BY4742_40.csv	40S	0.4076582243772837	8.65000000000065	3.9999999999999996	-0.9786860691140956	0.08537886981235004	10.65	0.10778984006035831	10.341922277105477	1.0	detected	0.8058146473749923
10-20240419_BY4742_40.csv	60S	0.12706839244160217	17.390756780147463	2.10477852275263	4.999999999999999	0.08057138277324442	19.037514831118813	0.11603867369302116	7.435130131623666	1.0	detected	0.9862850980570478
10-20240419_BY4742_40.csv	3-some	0.007572751230068723	40.279999999999994	1.1917911688385951	2.6930974004952826	0.05112249866253114	41.171440414303106	0.05487093395605315	3.562531286666385	1.0	detected	0.1629822638956896
10-20240419_BY4742_40.csv	4-some	0.0101910112656688	46.22919521113595	0.73969237798121	0.005933426692692933	0.04996176851550276	46.23269699342202	0.055458203188480215	1.743009138568475	1.0	detected	0.6556623334415748
10-20240419_BY4742_40.csv	5-some	0.014786164537213573	53.43445225443222	0.5226852257121684	1.044674703272758	0.05203756341670774	53.735717128894514	0.06592510679712733	1.3595151923415345	1.0	detected	0.8983403350042852
10-20240419_BY4742_40.csv	6-some	0.03147370262208929	59.41070854123511	3.9999999262005295	-0.00014108464743392438	0.051038338673725175	59.41025826420008	0.054177386425712154	9.420132727937677	1.0	detected	0.20918268522246353
11-20240419_MV_A_40.csv	free	4.755507942654873	1.0294873942071745	2.3940367370313003	4.999999999999999	0.018816755335037804	2.9025582320222627	1.18579560791318	8.456934773563068	1.0	detected	0.9733211339396789
11-20240419_MV_A_40.csv	80S	1.2888711776072217	23.29496774832392	2.0322064286860537	3.8909885375236106	0.08704221636464142	24.865398785100204	0.4619574728500595	6.6480133866919235	1.0	detected	0.9996146031861327
11-20240419_MV_A_40.csv	40S	0.5183266012224912	9.070000000000002	3.9999999999999996	-1.203146401455846	0.08815891230541084	11.07	0.11313461895077724	10.553363910171404	1.0	detected	0.8461832635188186
11-20240419_MV_A_40.csv	60S	0.09238818042931639	17.68615445046763	1.8564490549404873	4.8363635122536435	0.08108085747328067	19.136703653533047	0.11034035200861755	6.486365436463587	1.0	detected	0.9061055958149153
11-20240419_MV_A_40.csv	2-some	0.1902038704867655	30.430000000000003	3.9999999999999996	-3.2660887631442304	0.054803724501946705	32.43	0.05651900652732223	12.496655614881863	1.0	detected	0.8175750339558334
11-20240419_MV_A_40.csv	3-some	0.019379481605181926	40.64181753664911	1.1180479397026901	-0.1592290554880143	0.04635996089037753	40.50154071604817	0.053330094993319345	2.6749279544544073	1.0	detected	0.9834525839499924
11-20240419_MV_A_40.csv	4-some	0.025094482172089035	46.83677245530083	3.9999680395206414	3.363109357617019	0.04839891602257727	44.88	0.04862080435834542	12.587948434855056	1.0	detected	0.4823696767483814
11-20240419_MV_A_40.csv	5-some	0.005155788471661549	52.63837920297014	1.5139761880456324	3.390414502286157	0.05105766249700371	53.79701069427525	0.05307546484728491	4.774237029914966	1.0	detected	0.27450200910236877
11-20240419_MV_A_40.csv	6-some	1.8564409259754853e-07	59.9763840221826	3.978705236249644	-4.914715654505163	0.05195087799889543	56.86557762541242	0.05195090542148304	13.974866087498121	1.0	detected	-1.3250477675308403e-05
12-20240419_MV_I_40.csv	free	6.811415754252048	1.0988745021469706	3.071989426011918	4.999999999999996	3.2079133513448894e-22	3.5023688675151843	1.302610450695863	10.851802647387096	1.0	detected	0.949216830638083
