Gradient Profiler Text Data File: 20231116_MV_I_30C.csv
Date: 2023-11-16
Time: 17:10:54

User: jared
Experiment name: 20231116_BY4742_30
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW28.1
Speed: 28 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 4
w2t:  x 10^0
Sample Volume: 18 ml
Number of Tubes: 6
Volume per mm: 0.183 ml/mm

Absorbance Units Full Scale (AUFS): 2.00
Event Mark-triggered gradient; (with distance; auto start and stop)
Delay: No Delay
UV Wavelength: 254 nm
Samples / sec: 10 Hz
EM1 Speed: 0.30 mm/sec
Distance: 3.20 mm
Number: 30
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm
Total Distance: 96.00 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
0.00, 0.080948, 0, 0.000
0.03, 0.080960, , 
0.06, 0.080983, , 
0.09, 0.081005, , 
0.12, 0.080999, , 
0.15, 0.081008, , 
0.18, 0.080973, , 
0.21, 0.080986, , 
0.24, 0.080989, , 
0.27, 0.080973, , 
0.30, 0.080970, , 
0.33, 0.080992, , 
0.36, 0.081030, , 
0.39, 0.081173, , 
0.42, 0.081303, , 
0.45, 0.081370, , 
0.48, 0.081417, , 
0.51, 0.081458, , 
0.54, 0.081706, , 
0.57, 0.082435, , 
0.60, 0.085465, , 
0.63, 0.097442, , 
0.66, 0.123667, , 
0.69, 0.180775, , 
0.72, 0.250986, , 
0.75, 0.335223, , 
0.78, 0.428379, , 
0.81, 0.527017, , 
0.84, 0.645064, , 
0.87, 0.748056, , 
0.90, 0.852010, , 
0.93, 0.973952, , 
0.96, 1.079121, , 
0.99, 1.184147, , 
1.02, 1.289452, , 
1.05, 1.394938, , 
1.08, 1.517948, , 
1.11, 1.622543, , 
1.14, 1.739403, , 
1.18, 1.828919, , 
1.20, 1.890127, , 
1.23, 1.951571, , 
1.26, 1.984445, , 
1.29, 2.006740, , 
1.32, 2.017385, , 
1.35, 2.023507, , 
1.38, 2.027111, , 
1.41, 2.029280, , 
1.44, 2.030733, , 
1.47, 2.031469, , 
1.50, 2.032002, , 
1.53, 2.032452, , 
1.56, 2.032687, , 
1.59, 2.032858, , 
1.62, 2.032966, , 
1.65, 2.033105, , 
1.68, 2.033207, , 
1.71, 2.033283, , 
1.74, 2.033331, , 
1.77, 2.033451, , 
1.80, 2.033534, , 
1.83, 2.033584, , 
1.86, 2.033600, , 
1.89, 2.033692, , 
1.92, 2.033702, , 
1.95, 2.033727, , 
1.98, 2.033787, , 
2.01, 2.033806, , 
2.04, 2.033829, , 
2.07, 2.033873, , 
2.10, 2.033917, , 
2.13, 2.033956, , 
2.16, 2.033956, , 
2.19, 2.033927, , 
2.22, 2.033943, , 
2.25, 2.034019, , 
