Gradient Profiler Text Data File: 1-C1_eIF3b_DMSO_061825.csv
Date: 2025-06-18
Time: 15:38:48

User: Karen
Experiment name: 
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW28.1
Speed: 28 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 4
w2t:  x 10^0
Sample Volume: 18 ml
Number of Tubes: 6
Volume per mm: 0.183 ml/mm

Absorbance Units Full Scale (AUFS): 2.00
Event Mark-triggered gradient; (with distance; auto start and stop)
Delay: No Delay
UV Wavelength: 254 nm
Samples / sec: 10 Hz
EM1 Speed: 0.30 mm/sec
Distance: 3.20 mm
Number: 30
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm
Total Distance: 96.00 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
0.00, 0.079917, 0, 0.000
0.03, 0.079914, , 
0.06, 0.079907, , 
0.09, 0.079911, , 
0.12, 0.079911, , 
0.15, 0.079888, , 
0.18, 0.079888, , 
0.21, 0.079920, , 
0.24, 0.079984, , 
0.27, 0.080095, , 
0.30, 0.080234, , 
0.33, 0.080383, , 
0.36, 0.080516, , 
0.39, 0.080678, , 
0.42, 0.080789, , 
0.45, 0.080881, , 
0.48, 0.081002, , 
0.51, 0.081110, , 
0.55, 0.081449, , 
0.57, 0.082061, , 
0.60, 0.084021, , 
0.63, 0.090809, , 
0.66, 0.105464, , 
0.69, 0.140840, , 
0.72, 0.188746, , 
0.75, 0.238412, , 
0.78, 0.317780, , 
0.81, 0.392330, , 
0.84, 0.470950, , 
0.87, 0.565892, , 
0.90, 0.649317, , 
0.93, 0.733913, , 
0.96, 0.819457, , 
0.99, 0.920036, , 
1.02, 1.006693, , 
1.05, 1.107814, , 
1.08, 1.194376, , 
1.11, 1.280167, , 
1.15, 1.377476, , 
1.17, 1.442907, , 
1.20, 1.512064, , 
1.23, 1.574016, , 
1.26, 1.610924, , 
1.29, 1.640160, , 
1.32, 1.656936, , 
1.35, 1.668444, , 
1.38, 1.676253, , 
1.41, 1.681896, , 
1.44, 1.686933, , 
1.47, 1.690540, , 
1.50, 1.693826, , 
1.53, 1.697547, , 
1.56, 1.700684, , 
1.59, 1.703900, , 
1.62, 1.707513, , 
1.65, 1.711687, , 
1.68, 1.717295, , 
1.71, 1.722541, , 
1.74, 1.728923, , 
1.77, 1.734385, , 
1.80, 1.738766, , 
1.83, 1.744526, , 
1.86, 1.749541, , 
1.89, 1.755399, , 
1.92, 1.759866, , 
1.95, 1.763402, , 
1.98, 1.766260, , 
2.01, 1.767611, , 
2.04, 1.768950, , 
2.07, 1.770336, , 
2.10, 1.772290, , 
2.13, 1.775246, , 
2.16, 1.777815, , 
2.19, 1.780350, , 
2.22, 1.781777, , 
2.25, 1.783084, , 
2.28, 1.784359, , 
2.31, 1.785561, , 
2.34, 1.786989, , 
2.37, 1.788984, , 
2.40, 1.790836, , 
2.43, 1.793072, , 
2.46, 1.796704, , 
2.49, 1.799952, , 
2.52, 1.805047, , 
2.55, 1.809646, , 
2.58, 1.813969, , 
2.61, 1.818232, , 
2.64, 1.821043, , 
2.67, 1.823552, , 
2.70, 1.825042, , 
2.73, 1.826441, , 
2.76, 1.827897, , 
2.79, 1.828884, , 
2.82, 1.829680, , 
2.85, 1.829924, , 
2.88, 1.829829, , 
2.91, 1.829404, , 
2.94, 1.828436, , 
2.97, 1.827044, , 
3.00, 1.825144, , 
3.03, 1.822920, , 
3.06, 1.820516, , 
3.09, 1.817322, , 
3.12, 1.814223, , 
3.15, 1.810804, , 
3.18, 1.806560, , 
3.20, 1.804644, 1, 0.585
3.21, 1.803340, , 
3.24, 1.798417, , 
3.27, 1.793904, , 
3.30, 1.789196, , 
3.33, 1.783220, , 
3.36, 1.777739, , 
3.39, 1.771966, , 
3.42, 1.765010, , 
3.46, 1.758686, , 
3.48, 1.752018, , 
3.51, 1.745094, , 
3.54, 1.737932, , 
3.57, 1.729069, , 
3.60, 1.721082, , 
3.63, 1.711436, , 
3.66, 1.704236, , 
3.69, 1.693819, , 
3.72, 1.684431, , 
3.75, 1.674582, , 
3.78, 1.664397, , 
3.81, 1.651978, , 
3.84, 1.640915, , 
3.87, 1.627631, , 
3.90, 1.615866, , 
3.93, 1.605706, , 
3.96, 1.591077, , 
3.99, 1.578190, , 
4.02, 1.564991, , 
4.05, 1.549236, , 
4.08, 1.535511, , 
4.11, 1.519300, , 
4.14, 1.505172, , 
4.17, 1.493293, , 
4.20, 1.476463, , 
4.23, 1.461951, , 
4.26, 1.444984, , 
4.29, 1.430333, , 
4.32, 1.415514, , 
4.35, 1.398065, , 
4.38, 1.385520, , 
4.41, 1.367852, , 
4.44, 1.352633, , 
4.47, 1.337564, , 
4.50, 1.322690, , 
4.53, 1.305448, , 
4.56, 1.290762, , 
4.59, 1.276244, , 
4.62, 1.261888, , 
4.65, 1.245197, , 
4.68, 1.230898, , 
4.71, 1.214283, , 
4.74, 1.200070, , 
4.77, 1.188191, , 
4.80, 1.171675, , 
4.83, 1.157797, , 
4.86, 1.142027, , 
4.89, 1.128765, , 
4.92, 1.115671, , 
4.95, 1.100576, , 
4.98, 1.089975, , 
5.01, 1.075222, , 
5.04, 1.062582, , 
5.07, 1.050063, , 
5.10, 1.035570, , 
5.13, 1.023225, , 
5.16, 1.010943, , 
5.19, 0.996926, , 
5.22, 0.987131, , 
5.25, 0.973546, , 
5.28, 0.962022, , 
5.31, 0.950638, , 
5.34, 0.937516, , 
5.37, 0.926272, , 
5.40, 0.913267, , 
5.43, 0.904024, , 
5.46, 0.893144, , 
5.49, 0.880516, , 
5.52, 0.869748, , 
5.55, 0.859080, , 
5.58, 0.848562, , 
5.61, 0.836401, , 
5.64, 0.825978, , 
5.67, 0.813903, , 
5.70, 0.803584, , 
5.73, 0.793241, , 
5.76, 0.782976, , 
5.79, 0.772915, , 
5.82, 0.763018, , 
5.85, 0.751717, , 
5.88, 0.742141, , 
5.91, 0.731251, , 
5.94, 0.722002, , 
5.97, 0.712835, , 
6.00, 0.703783, , 
6.03, 0.694800, , 
6.06, 0.684576, , 
6.09, 0.675933, , 
6.12, 0.666084, , 
6.15, 0.657900, , 
6.18, 0.649895, , 
6.21, 0.641908, , 
6.24, 0.633997, , 
6.27, 0.626289, , 
6.30, 0.617468, , 
6.33, 0.609979, , 
6.36, 0.601361, , 
6.39, 0.595306, , 
6.40, 0.594094, 2, 0.586
6.42, 0.588099, , 
6.45, 0.579757, , 
6.48, 0.572744, , 
6.51, 0.564744, , 
6.54, 0.557937, , 
6.57, 0.551168, , 
6.60, 0.544501, , 
6.63, 0.537868, , 
6.66, 0.530195, , 
6.69, 0.523671, , 
6.72, 0.517203, , 
6.75, 0.509781, , 
6.78, 0.503599, , 
6.81, 0.497489, , 
6.84, 0.490330, , 
6.87, 0.484316, , 
6.90, 0.479403, , 
6.93, 0.472533, , 
6.96, 0.466715, , 
6.99, 0.461038, , 
7.02, 0.454443, , 
7.05, 0.448835, , 
7.08, 0.442412, , 
7.11, 0.437036, , 
7.14, 0.431716, , 
7.17, 0.426406, , 
7.20, 0.421201, , 
7.23, 0.415352, , 
7.26, 0.410391, , 
7.29, 0.405421, , 
7.32, 0.399705, , 
7.35, 0.394912, , 
7.38, 0.390129, , 
7.41, 0.385304, , 
7.44, 0.380537, , 
7.47, 0.375142, , 
7.50, 0.370625, , 
7.53, 0.366117, , 
7.56, 0.361702, , 
7.59, 0.356592, , 
