Gradient Profiler Text Data File: 5-C5_BY4741_42_012126.csv
Date: 2026-01-21
Time: 16:28:03

User: Karen
Experiment name: 
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW28.1
Speed: 28 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 4
w2t:  x 10^0
Sample Volume: 18 ml
Number of Tubes: 6
Volume per mm: 0.183 ml/mm

Absorbance Units Full Scale (AUFS): 2.00
Event Mark-triggered gradient; (with distance; auto start and stop)
Delay: No Delay
UV Wavelength: 254 nm
Samples / sec: 10 Hz
EM1 Speed: 0.30 mm/sec
Distance: 3.20 mm
Number: 30
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm
Total Distance: 96.00 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
0.00, 0.080434, 0, 0.000
0.03, 0.080462, , 
0.07, 0.080450, , 
0.09, 0.080443, , 
0.12, 0.080507, , 
0.15, 0.080501, , 
0.18, 0.080459, , 
0.21, 0.080488, , 
0.24, 0.080599, , 
0.27, 0.080764, , 
0.30, 0.080802, , 
0.33, 0.080900, , 
0.36, 0.081049, , 
0.39, 0.081116, , 
0.42, 0.081297, , 
0.45, 0.081550, , 
0.48, 0.081750, , 
0.51, 0.082048, , 
0.54, 0.082613, , 
0.57, 0.085652, , 
0.60, 0.094406, , 
0.63, 0.115680, , 
0.66, 0.165220, , 
0.69, 0.230013, , 
0.73, 0.324965, , 
0.75, 0.400942, , 
0.78, 0.496966, , 
0.81, 0.612935, , 
0.84, 0.714510, , 
0.87, 0.834473, , 
0.90, 0.938303, , 
0.94, 1.042900, , 
0.96, 1.147638, , 
0.99, 1.252800, , 
1.02, 1.375789, , 
1.05, 1.481322, , 
1.08, 1.586069, , 
1.11, 1.704173, , 
1.14, 1.782129, , 
1.17, 1.873916, , 
1.20, 1.931188, , 
1.23, 1.969283, , 
1.26, 1.995949, , 
1.29, 2.009379, , 
1.32, 2.018784, , 
1.35, 2.022987, , 
1.38, 2.026419, , 
1.41, 2.029007, , 
1.44, 2.030279, , 
1.47, 2.031212, , 
1.50, 2.031710, , 
1.53, 2.032078, , 
1.56, 2.032300, , 
1.59, 2.032424, , 
1.62, 2.032617, , 
1.65, 2.032769, , 
1.68, 2.032877, , 
1.71, 2.032902, , 
1.74, 2.033013, , 
1.77, 2.033086, , 
1.80, 2.033144, , 
1.83, 2.033251, , 
1.86, 2.033385, , 
1.89, 2.033432, , 
1.92, 2.033445, , 
1.95, 2.033451, , 
1.98, 2.033486, , 
2.01, 2.033578, , 
2.04, 2.033597, , 
2.07, 2.033581, , 
2.10, 2.033642, , 
2.13, 2.033670, , 
2.16, 2.033689, , 
2.19, 2.033626, , 
2.22, 2.033702, , 
2.25, 2.033743, , 
2.28, 2.033711, , 
2.31, 2.033737, , 
2.34, 2.033806, , 
2.37, 2.033800, , 
2.40, 2.033813, , 
2.43, 2.033819, , 
2.46, 2.033857, , 
2.49, 2.033889, , 
2.52, 2.033854, , 
2.55, 2.033826, , 
2.58, 2.033762, , 
2.61, 2.033591, , 
2.64, 2.033359, , 
2.67, 2.032868, , 
2.70, 2.032392, , 
2.73, 2.031259, , 
2.76, 2.029835, , 
2.79, 2.028110, , 
2.82, 2.025788, , 
2.85, 2.023396, , 
2.88, 2.020116, , 
2.91, 2.017563, , 
2.94, 2.013405, , 
2.97, 2.009360, , 
3.00, 2.004916, , 
3.03, 1.999242, , 
3.06, 1.993961, , 
3.09, 1.988207, , 
3.12, 1.982139, , 
3.15, 1.975674, , 
3.18, 1.968753, 1, 0.582
3.18, 1.967542, , 
3.21, 1.960208, , 
3.24, 1.952751, , 
3.27, 1.944038, , 
3.30, 1.936479, , 
3.33, 1.928723, , 
3.36, 1.920708, , 
3.39, 1.912658, , 
3.42, 1.903066, , 
3.45, 1.894609, , 
3.48, 1.884646, , 
3.52, 1.875942, , 
3.54, 1.868447, , 
3.57, 1.857812, , 
3.60, 1.848645, , 
3.63, 1.838114, , 
3.66, 1.829042, , 
3.69, 1.819875, , 
3.72, 1.810607, , 
3.75, 1.801110, , 
3.78, 1.789568, , 
3.81, 1.779433, , 
3.84, 1.769159, , 
3.87, 1.757115, , 
3.90, 1.746740, , 
3.93, 1.736384, , 
3.96, 1.726208, , 
3.99, 1.716166, , 
4.02, 1.704268, , 
4.05, 1.694086, , 
4.08, 1.682347, , 
4.11, 1.672190, , 
4.14, 1.663607, , 
4.17, 1.651512, , 
4.20, 1.641238, , 
4.23, 1.629344, , 
4.26, 1.619393, , 
4.29, 1.609674, , 
4.32, 1.598446, , 
4.35, 1.590503, , 
4.38, 1.579284, , 
4.41, 1.569673, , 
4.44, 1.560138, , 
4.47, 1.549084, , 
4.50, 1.539682, , 
4.54, 1.528800, , 
4.56, 1.521085, , 
4.59, 1.511804, , 
4.62, 1.500960, , 
4.65, 1.491802, , 
4.68, 1.481198, , 
4.71, 1.471965, , 
4.74, 1.464156, , 
4.77, 1.453130, , 
4.80, 1.443735, , 
4.83, 1.432880, , 
4.86, 1.423631, , 
4.89, 1.414483, , 
4.92, 1.403924, , 
4.95, 1.396305, , 
4.98, 1.385523, , 
5.01, 1.376277, , 
5.04, 1.367186, , 
5.07, 1.356573, , 
5.10, 1.347400, , 
5.13, 1.338300, , 
5.16, 1.329253, , 
5.19, 1.318595, , 
5.22, 1.309533, , 
5.25, 1.299256, , 
5.28, 1.290629, , 
5.31, 1.283393, , 
5.34, 1.273246, , 
5.37, 1.264517, , 
5.40, 1.254262, , 
5.43, 1.245498, , 
5.46, 1.236924, , 
5.49, 1.228630, , 
5.52, 1.220396, , 
5.55, 1.210670, , 
5.58, 1.202306, , 
5.61, 1.193983, , 
5.64, 1.184270, , 
5.67, 1.175976, , 
5.70, 1.167688, , 
5.73, 1.159421, , 
5.76, 1.151095, , 
5.79, 1.141224, , 
5.82, 1.132806, , 
5.85, 1.123077, , 
5.88, 1.114792, , 
5.91, 1.107925, , 
5.94, 1.098371, , 
5.97, 1.090223, , 
6.00, 1.080564, , 
6.03, 1.072085, , 
6.06, 1.063677, , 
6.09, 1.053990, , 
6.12, 1.047068, , 
6.15, 1.038834, , 
6.18, 1.029372, , 
6.21, 1.021484, , 
6.24, 1.012352, , 
6.27, 1.004602, , 
6.30, 0.997025, , 
6.33, 0.989485, , 
6.36, 0.981939, , 
6.38, 0.976854, 2, 0.586
6.40, 0.973061, , 
6.42, 0.965578, , 
6.45, 0.958264, , 
6.48, 0.951044, , 
6.51, 0.942778, , 
6.54, 0.935863, , 
6.57, 0.928952, , 
6.60, 0.920603, , 
6.63, 0.913210, , 
6.66, 0.905784, , 
6.69, 0.898473, , 
6.72, 0.891165, , 
6.75, 0.882657, , 
6.78, 0.875473, , 
6.81, 0.868304, , 
6.84, 0.860987, , 
6.87, 0.852435, , 
6.90, 0.844036, , 
6.93, 0.838136, , 
6.96, 0.830961, , 
6.99, 0.822349, , 
7.02, 0.814914, , 
7.05, 0.806315, , 
7.08, 0.798963, , 
7.11, 0.791915, , 
7.14, 0.785241, , 
7.17, 0.778821, , 
7.20, 0.771418, , 
7.23, 0.765064, , 
7.26, 0.758622, , 
7.29, 0.750984, , 
7.32, 0.745519, , 
7.35, 0.738128, , 
7.38, 0.732054, , 
7.41, 0.726034, , 
7.44, 0.719068, , 
7.47, 0.713225, , 
7.50, 0.706441, , 
7.53, 0.701556, , 
7.56, 0.695551, , 
7.59, 0.688503, , 
7.62, 0.682381, , 
7.65, 0.675111, , 
7.68, 0.668894, , 
7.71, 0.662750, , 
7.74, 0.656695, , 
7.77, 0.650662, , 
7.80, 0.643582, , 
7.83, 0.637594, , 
7.86, 0.631646, , 
7.89, 0.624706, , 
7.92, 0.618756, , 
7.95, 0.612869, , 
7.98, 0.606867, , 
8.01, 0.600701, , 
8.04, 0.593628, , 
8.07, 0.587880, , 
8.10, 0.581460, , 
8.13, 0.576055, , 
8.16, 0.571621, , 
8.19, 0.565559, , 
8.22, 0.560284, , 
8.25, 0.554001, , 
8.28, 0.548700, , 
8.31, 0.543679, , 
8.34, 0.537935, , 
8.37, 0.533856, , 
8.40, 0.528229, , 
8.43, 0.523461, , 
8.46, 0.518592, , 
8.49, 0.512854, , 
8.52, 0.508071, , 
8.55, 0.503357, , 
8.58, 0.498558, , 
8.61, 0.493718, , 
8.64, 0.488009, , 
8.67, 0.483108, , 
8.70, 0.478217, , 
8.73, 0.472618, , 
8.77, 0.468022, , 
8.79, 0.463426, , 
8.82, 0.458709, , 
8.85, 0.453130, , 
8.88, 0.448328, , 
8.91, 0.443471, , 
8.94, 0.437828, , 
8.97, 0.433867, , 
9.00, 0.429290, , 
9.03, 0.424081, , 
9.06, 0.419695, , 
9.09, 0.414762, , 
