Gradient Profiler Text Data File: 3-C3_eIF3b_DMSO_061825.csv
Date: 2025-06-18
Time: 14:45:49

User: Karen
Experiment name: 
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW28.1
Speed: 28 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 4
w2t:  x 10^0
Sample Volume: 18 ml
Number of Tubes: 6
Volume per mm: 0.183 ml/mm

Absorbance Units Full Scale (AUFS): 2.00
Event Mark-triggered gradient; (with distance; auto start and stop)
Delay: No Delay
UV Wavelength: 254 nm
Samples / sec: 10 Hz
EM1 Speed: 0.30 mm/sec
Distance: 3.20 mm
Number: 30
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm
Total Distance: 96.00 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
0.00, 0.080098, 0, 0.000
0.03, 0.080069, , 
0.06, 0.080056, , 
0.09, 0.080110, , 
0.12, 0.080091, , 
0.15, 0.080060, , 
0.18, 0.080072, , 
0.21, 0.080088, , 
0.24, 0.080088, , 
0.27, 0.080031, , 
0.30, 0.080063, , 
0.33, 0.080107, , 
0.36, 0.080047, , 
0.39, 0.080028, , 
0.42, 0.080082, , 
0.45, 0.080095, , 
0.48, 0.080063, , 
0.51, 0.080155, , 
0.54, 0.080573, , 
0.57, 0.082001, , 
0.60, 0.086543, , 
0.63, 0.099494, , 
0.66, 0.135848, , 
0.69, 0.190747, , 
0.72, 0.264692, , 
0.75, 0.367113, , 
0.78, 0.463077, , 
0.81, 0.563218, , 
0.84, 0.665488, , 
0.87, 0.769223, , 
0.90, 0.891142, , 
0.93, 0.996051, , 
0.96, 1.118884, , 
0.99, 1.224243, , 
1.02, 1.312277, , 
1.05, 1.435383, , 
1.08, 1.540621, , 
1.11, 1.661618, , 
1.14, 1.760221, , 
1.17, 1.847677, , 
1.20, 1.925605, , 
1.23, 1.963520, , 
1.26, 1.996616, , 
1.29, 2.012272, , 
1.32, 2.020989, , 
1.35, 2.026295, , 
1.38, 2.028769, , 
1.41, 2.030324, , 
1.44, 2.030911, , 
1.47, 2.031418, , 
1.50, 2.031849, , 
1.53, 2.032087, , 
1.56, 2.032303, , 
1.59, 2.032446, , 
1.62, 2.032630, , 
1.65, 2.032744, , 
1.68, 2.032788, , 
1.71, 2.032877, , 
1.74, 2.032966, , 
1.77, 2.032966, , 
1.80, 2.032979, , 
1.83, 2.033023, , 
1.86, 2.033112, , 
1.89, 2.033163, , 
1.92, 2.033197, , 
1.95, 2.033305, , 
1.98, 2.033340, , 
2.01, 2.033308, , 
2.04, 2.033318, , 
2.07, 2.033375, , 
2.10, 2.033439, , 
2.13, 2.033359, , 
2.16, 2.033404, , 
2.19, 2.033458, , 
2.22, 2.033489, , 
2.25, 2.033505, , 
2.28, 2.033511, , 
2.31, 2.033550, , 
2.34, 2.033594, , 
2.37, 2.033569, , 
2.40, 2.033559, , 
2.43, 2.033676, , 
2.46, 2.033676, , 
2.49, 2.033651, , 
2.52, 2.033676, , 
2.55, 2.033765, , 
2.58, 2.033775, , 
2.61, 2.033787, , 
2.64, 2.033810, , 
2.67, 2.033810, , 
2.70, 2.033810, , 
2.73, 2.033797, , 
2.76, 2.033787, , 
2.79, 2.033835, , 
2.82, 2.033835, , 
2.85, 2.033826, , 
2.88, 2.033816, , 
2.91, 2.033851, , 
2.94, 2.033886, , 
2.97, 2.033857, , 
3.00, 2.033895, , 
3.03, 2.033946, , 
3.06, 2.033911, , 
3.09, 2.033886, , 
3.12, 2.033886, , 
3.15, 2.033924, , 
3.18, 2.033898, , 
3.19, 2.033889, 1, 0.583
3.21, 2.033889, , 
3.24, 2.033940, , 
3.27, 2.033968, , 
3.30, 2.033937, , 
3.33, 2.033905, , 
3.36, 2.033914, , 
3.39, 2.033940, , 
3.42, 2.033946, , 
3.45, 2.033914, , 
3.48, 2.034006, , 
3.51, 2.033952, , 
