Gradient Profiler Text Data File: 20240906_yHG005_rep1_sample_2_30C.csv
Date: 2024-09-06
Time: 17:38:17

User: jared
Experiment name: 
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW28.1
Speed: 28 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 4
w2t:  x 10^0
Sample Volume: 18 ml
Number of Tubes: 6
Volume per mm: 0.183 ml/mm

Absorbance Units Full Scale (AUFS): 2.00
Event Mark-triggered gradient; (with distance; auto start and stop)
Delay: No Delay
UV Wavelength: 254 nm
Samples / sec: 10 Hz
EM1 Speed: 0.30 mm/sec
Distance: 3.20 mm
Number: 30
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm
Total Distance: 96.00 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
0.00, 0.060057, 0, 0.000
0.03, 0.060089, , 
0.06, 0.060108, , 
0.09, 0.060089, , 
0.12, 0.060099, , 
0.15, 0.060115, , 
0.18, 0.060083, , 
0.21, 0.060102, , 
0.24, 0.060127, , 
0.27, 0.060254, , 
0.30, 0.060403, , 
0.33, 0.060638, , 
0.36, 0.060946, , 
0.39, 0.061253, , 
0.42, 0.061469, , 
0.46, 0.061704, , 
0.48, 0.061967, , 
0.51, 0.062221, , 
0.54, 0.062950, , 
0.57, 0.065567, , 
0.60, 0.073459, , 
0.63, 0.095602, , 
0.66, 0.128447, , 
0.69, 0.171395, , 
0.72, 0.220770, , 
0.75, 0.273881, , 
0.78, 0.338420, , 
0.81, 0.394966, , 
0.84, 0.461761, , 
0.88, 0.519252, , 
0.90, 0.567354, , 
0.93, 0.635205, , 
0.96, 0.693737, , 
0.99, 0.762352, , 
1.02, 0.821227, , 
1.05, 0.880117, , 
1.09, 0.947742, , 
1.11, 0.993618, , 
1.14, 1.049812, , 
1.17, 1.085839, , 
1.20, 1.110082, , 
1.23, 1.127144, , 
1.26, 1.135718, , 
1.29, 1.141151, , 
1.32, 1.144732, , 
1.35, 1.147305, , 
1.38, 1.149772, , 
1.41, 1.151679, , 
1.44, 1.153360, , 
1.47, 1.154993, , 
1.50, 1.156227, , 
1.53, 1.157385, , 
1.56, 1.158575, , 
1.59, 1.159957, , 
1.62, 1.161883, , 
1.65, 1.163665, , 
1.68, 1.165870, , 
1.71, 1.167849, , 
1.74, 1.169565, , 
1.77, 1.172020, , 
1.80, 1.174180, , 
1.83, 1.176724, , 
1.86, 1.178773, , 
1.89, 1.180566, , 
1.92, 1.182218, , 
1.95, 1.183201, , 
1.98, 1.184426, , 
2.01, 1.185479, , 
2.04, 1.186519, , 
2.07, 1.187750, , 
2.10, 1.188870, , 
2.13, 1.190249, , 
2.16, 1.191198, , 
2.19, 1.192260, , 
2.22, 1.193304, , 
2.25, 1.194053, , 
2.28, 1.194801, , 
2.31, 1.195398, , 
2.34, 1.196073, , 
2.37, 1.196892, , 
2.40, 1.197818, , 
2.43, 1.199080, , 
2.46, 1.200349, , 
2.49, 1.201776, , 
2.52, 1.203445, , 
2.55, 1.205335, , 
2.58, 1.207714, , 
2.61, 1.209643, , 
2.64, 1.211406, , 
2.67, 1.212570, , 
2.70, 1.213665, , 
2.73, 1.214861, , 
2.76, 1.216263, , 
2.79, 1.218051, , 
2.82, 1.219387, , 
2.85, 1.220437, , 
2.88, 1.221300, , 
2.91, 1.222112, , 
2.94, 1.223120, , 
2.97, 1.224430, , 
3.00, 1.225778, , 
3.03, 1.226993, , 
3.06, 1.227618, , 
3.09, 1.227926, , 
3.12, 1.228075, , 
3.15, 1.228386, , 
3.18, 1.229093, , 
3.19, 1.229198, 1, 0.583
3.21, 1.229718, , 
3.24, 1.230102, , 
3.27, 1.230067, , 
3.30, 1.229927, , 
3.33, 1.229692, , 
3.36, 1.229613, , 
3.39, 1.229702, , 
3.42, 1.229746, , 
3.45, 1.229521, , 
3.48, 1.228950, , 
3.51, 1.228316, , 
3.54, 1.227650, , 
3.57, 1.227247, , 
3.60, 1.226720, , 
3.63, 1.225931, , 
3.66, 1.224928, , 
3.69, 1.223507, , 
3.72, 1.222216, , 
3.75, 1.220979, , 
3.78, 1.219739, , 
3.81, 1.218397, , 
3.84, 1.216570, , 
3.87, 1.214861, , 
3.90, 1.213097, , 
3.93, 1.210972, , 
3.96, 1.209053, , 
4.00, 1.206620, , 
4.02, 1.204761, , 
4.05, 1.202363, , 
4.08, 1.199305, , 
4.11, 1.196638, , 
4.14, 1.193996, , 
4.17, 1.190732, , 
4.20, 1.187794, , 
4.23, 1.184765, , 
4.26, 1.181628, , 
4.29, 1.178453, , 
4.32, 1.174653, , 
4.35, 1.171319, , 
4.38, 1.167243, , 
4.41, 1.163488, , 
4.44, 1.160218, , 
4.47, 1.155463, , 
4.50, 1.151273, , 
4.53, 1.146169, , 
4.56, 1.141722, , 
4.59, 1.137113, , 
4.62, 1.131581, , 
4.65, 1.127493, , 
4.68, 1.121691, , 
4.71, 1.116743, , 
4.74, 1.111697, , 
4.77, 1.105435, , 
4.80, 1.099808, , 
4.83, 1.093138, , 
4.86, 1.088342, , 
4.89, 1.082550, , 
4.92, 1.075882, , 
4.95, 1.070192, , 
4.98, 1.063436, , 
5.01, 1.057488, , 
5.04, 1.051509, , 
5.07, 1.045505, , 
5.10, 1.039478, , 
5.13, 1.032414, , 
5.16, 1.026257, , 
5.19, 1.020069, , 
5.22, 1.012751, , 
5.25, 1.006414, , 
5.28, 1.000178, , 
5.31, 0.993935, , 
5.34, 0.987614, , 
5.37, 0.979934, , 
5.40, 0.973064, , 
5.43, 0.964706, , 
5.46, 0.957414, , 
5.50, 0.950144, , 
5.52, 0.942937, , 
5.55, 0.935759, , 
5.58, 0.927179, , 
5.61, 0.919620, , 
5.64, 0.911941, , 
5.67, 0.902951, , 
5.70, 0.896557, , 
5.73, 0.887596, , 
5.76, 0.879895, , 
5.79, 0.872101, , 
5.82, 0.862731, , 
5.85, 0.854675, , 
5.88, 0.845514, , 
5.91, 0.839148, , 
5.94, 0.831592, , 
5.97, 0.822809, , 
6.00, 0.815175, , 
6.03, 0.806125, , 
6.06, 0.798398, , 
6.09, 0.790881, , 
6.12, 0.783595, , 
6.15, 0.776426, , 
6.18, 0.767941, , 
6.21, 0.760671, , 
6.24, 0.753496, , 
6.27, 0.745170, , 
6.30, 0.738036, , 
6.33, 0.730963, , 
6.36, 0.723820, , 
6.39, 0.717707, 2, 0.585
6.39, 0.716473, , 
6.42, 0.707814, , 
6.45, 0.700316, , 
6.48, 0.692811, , 
6.51, 0.684034, , 
6.55, 0.676577, , 
6.57, 0.669221, , 
6.60, 0.661897, , 
6.63, 0.654478, , 
6.66, 0.646938, , 
6.69, 0.638016, , 
6.72, 0.630314, , 
6.75, 0.621331, , 
6.78, 0.613611, , 
6.81, 0.606004, , 
6.84, 0.598531, , 
6.87, 0.591211, , 
6.90, 0.582945, , 
6.93, 0.576176, , 
6.96, 0.569572, , 
6.99, 0.562038, , 
7.02, 0.555758, , 
7.05, 0.549617, , 
7.08, 0.543492, , 
7.11, 0.537418, , 
7.14, 0.530585, , 
7.17, 0.525126, , 
7.20, 0.519141, , 
7.23, 0.514028, , 
7.26, 0.509565, , 
7.29, 0.503066, , 
7.32, 0.497302, , 
7.35, 0.490492, , 
7.38, 0.484779, , 
7.41, 0.479105, , 
7.44, 0.472504, , 
7.47, 0.467759, , 
7.50, 0.461142, , 
7.53, 0.455528, , 
7.56, 0.450028, , 
7.59, 0.443833, , 
7.62, 0.438536, , 
7.65, 0.432078, , 
7.68, 0.427196, , 
7.71, 0.421166, , 
7.74, 0.414267, , 
7.77, 0.408840, , 
7.80, 0.403017, , 
7.83, 0.398278, , 
7.86, 0.393732, , 
7.89, 0.389295, , 
7.92, 0.384759, , 
7.95, 0.380236, , 
7.98, 0.375097, , 
8.01, 0.370913, , 
8.04, 0.366136, , 
8.07, 0.362038, , 
8.10, 0.358029, , 
8.13, 0.353452, , 
8.16, 0.350264, , 
8.19, 0.345953, , 
8.22, 0.342207, , 
8.25, 0.338300, , 
8.28, 0.333437, , 
8.31, 0.329025, , 
8.35, 0.323921, , 
8.37, 0.320311, , 
8.40, 0.315960, , 
8.43, 0.311021, , 
8.46, 0.306764, , 
8.49, 0.301756, , 
8.52, 0.297547, , 
8.55, 0.293537, , 
8.58, 0.289645, , 
8.61, 0.285639, , 
8.64, 0.280640, , 
8.67, 0.276161, , 
8.70, 0.271660, , 
8.73, 0.266706, , 
8.77, 0.262817, , 
8.79, 0.259245, , 
8.82, 0.255934, , 
8.85, 0.252568, , 
8.88, 0.249092, , 
8.91, 0.245095, , 
8.94, 0.241825, , 
8.97, 0.238647, , 
9.00, 0.235148, , 
9.03, 0.232284, , 
9.06, 0.228842, , 
9.09, 0.226359, , 
9.12, 0.223066, , 
9.15, 0.220465, , 
9.18, 0.217899, , 
9.21, 0.214765, , 
9.24, 0.211904, , 
9.28, 0.208510, , 
9.30, 0.206125, , 
9.33, 0.203264, , 
9.36, 0.199889, , 
9.39, 0.197171, , 
9.42, 0.194097, , 
9.45, 0.191385, , 
