Gradient Profiler Text Data File: 20231116_BY4742_30C.csv
Date: 2023-11-16
Time: 16:49:10

User: jared
Experiment name: 20231116_BY4742_30
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW28.1
Speed: 28 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 4
w2t:  x 10^0
Sample Volume: 18 ml
Number of Tubes: 6
Volume per mm: 0.183 ml/mm

Absorbance Units Full Scale (AUFS): 2.00
Event Mark-triggered gradient; (with distance; auto start and stop)
Delay: No Delay
UV Wavelength: 254 nm
Samples / sec: 10 Hz
EM1 Speed: 0.30 mm/sec
Distance: 3.20 mm
Number: 30
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm
Total Distance: 96.00 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
0.00, 0.088370, 0, 0.000
0.03, 0.088399, , 
0.06, 0.088405, , 
0.09, 0.088376, , 
0.12, 0.088415, , 
0.15, 0.088415, , 
0.18, 0.088408, , 
0.21, 0.088859, , 
0.24, 0.091726, , 
0.27, 0.095285, , 
0.30, 0.098152, , 
0.33, 0.100036, , 
0.37, 0.100690, , 
0.39, 0.100782, , 
0.42, 0.100446, , 
0.45, 0.100062, , 
0.48, 0.099599, , 
0.51, 0.098983, , 
0.54, 0.098470, , 
0.57, 0.098504, , 
0.60, 0.099856, , 
0.63, 0.108122, , 
0.66, 0.128714, , 
0.69, 0.167833, , 
0.72, 0.236138, , 
0.75, 0.307595, , 
0.78, 0.385051, , 
0.81, 0.481018, , 
0.84, 0.566872, , 
0.87, 0.655033, , 
0.90, 0.759656, , 
0.93, 0.835348, , 
0.96, 0.941858, , 
0.99, 1.033832, , 
1.02, 1.126097, , 
1.05, 1.233940, , 
1.08, 1.326383, , 
1.11, 1.417902, , 
1.14, 1.507005, , 
1.17, 1.601107, , 
1.20, 1.665764, , 
1.23, 1.712217, , 
1.26, 1.746502, , 
1.29, 1.761439, , 
1.32, 1.774222, , 
1.35, 1.780756, , 
1.38, 1.785266, , 
1.41, 1.789206, , 
1.44, 1.792000, , 
1.47, 1.794436, , 
1.50, 1.796901, , 
1.53, 1.798918, , 
1.56, 1.800609, , 
1.59, 1.803178, , 
1.62, 1.805598, , 
1.65, 1.808190, , 
1.68, 1.811362, , 
1.71, 1.813960, , 
1.74, 1.816868, , 
1.77, 1.819295, , 
1.81, 1.821591, , 
1.83, 1.823812, , 
1.86, 1.825861, , 
1.89, 1.828043, , 
1.92, 1.829635, , 
1.95, 1.830822, , 
1.98, 1.831672, , 
2.01, 1.831960, , 
2.04, 1.831970, , 
2.07, 1.831837, , 
2.10, 1.831795, , 
2.13, 1.831843, , 
2.16, 1.831916, , 
2.19, 1.832151, , 
2.22, 1.832319, , 
2.25, 1.832404, , 
2.28, 1.832373, , 
2.31, 1.832221, , 
2.34, 1.832119, , 
2.37, 1.832265, , 
2.40, 1.832646, , 
2.43, 1.833232, , 
2.46, 1.833905, , 
2.49, 1.834679, , 
2.52, 1.835748, , 
2.55, 1.836864, , 
2.58, 1.838349, , 
2.61, 1.839617, , 
2.64, 1.840747, , 
2.67, 1.841682, , 
2.71, 1.841914, , 
2.73, 1.841822, , 
2.76, 1.841546, , 
2.80, 1.841295, , 
2.83, 1.841115, , 
2.85, 1.841023, , 
2.88, 1.840661, , 
2.91, 1.840014, , 
2.94, 1.839027, , 
2.97, 1.837733, , 
3.00, 1.836744, , 
3.03, 1.835760, , 
3.06, 1.834955, , 
3.09, 1.834168, , 
3.12, 1.832731, , 
3.15, 1.830933, , 
3.18, 1.829470, , 
3.19, 1.828839, 1, 0.584
3.21, 1.827266, , 
3.24, 1.825436, , 
3.27, 1.823510, , 
3.31, 1.822936, , 
3.34, 1.819971, , 
3.36, 1.816497, , 
3.39, 1.813804, , 
3.42, 1.810861, , 
3.45, 1.807787, , 
3.48, 1.803997, , 
3.51, 1.800428, , 
3.54, 1.796587, , 
3.57, 1.792457, , 
3.60, 1.787274, , 
3.63, 1.782494, , 
3.66, 1.776569, , 
3.69, 1.772131, , 
3.72, 1.765626, , 
3.75, 1.759691, , 
3.78, 1.752503, , 
3.81, 1.745963, , 
3.85, 1.737811, , 
3.87, 1.731635, , 
3.90, 1.723969, , 
3.93, 1.714767, , 
3.96, 1.706647, , 
3.99, 1.696976, , 
4.02, 1.688373, , 
4.05, 1.680872, , 
4.08, 1.669662, , 
4.11, 1.659467, , 
4.14, 1.647176, , 
4.17, 1.636373, , 
4.20, 1.625211, , 
4.23, 1.613807, , 
4.26, 1.602214, , 
4.29, 1.588422, , 
4.32, 1.576420, , 
4.35, 1.562384, , 
4.38, 1.552285, , 
4.41, 1.538039, , 
4.44, 1.525488, , 
4.47, 1.510453, , 
4.50, 1.497286, , 
4.54, 1.484085, , 
4.56, 1.470832, , 
4.59, 1.457796, , 
4.62, 1.442945, , 
4.65, 1.430397, , 
4.68, 1.417779, , 
4.71, 1.403134, , 
4.74, 1.392584, , 
4.77, 1.377844, , 
4.80, 1.365220, , 
4.83, 1.352484, , 
4.86, 1.337681, , 
4.89, 1.324876, , 
4.92, 1.309933, , 
4.95, 1.299339, , 
4.98, 1.286667, , 
5.01, 1.271959, , 
5.04, 1.259191, , 
5.07, 1.246294, , 
5.10, 1.231072, , 
5.13, 1.217928, , 
5.16, 1.204920, , 
5.19, 1.189771, , 
5.22, 1.176880, , 
5.25, 1.164024, , 
5.28, 1.151165, , 
5.31, 1.138261, , 
5.34, 1.123506, , 
5.37, 1.111024, , 
5.40, 1.098600, , 
5.43, 1.084104, , 
5.46, 1.073617, , 
5.49, 1.058995, , 
5.52, 1.046545, , 
5.55, 1.032316, , 
5.58, 1.020497, , 
5.61, 1.008881, , 
5.64, 0.997228, , 
5.67, 0.985520, , 
5.70, 0.971773, , 
5.73, 0.960119, , 
5.76, 0.948672, , 
5.79, 0.935775, , 
5.82, 0.924943, , 
5.85, 0.914186, , 
5.88, 0.903472, , 
5.91, 0.893087, , 
5.94, 0.881259, , 
5.97, 0.871219, , 
