Gradient Profiler Text Data File: 6-C6_BY4741_46_012126.csv
Date: 2026-01-21
Time: 16:40:12

User: Karen
Experiment name: 
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW28.1
Speed: 28 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 4
w2t:  x 10^0
Sample Volume: 18 ml
Number of Tubes: 6
Volume per mm: 0.183 ml/mm

Absorbance Units Full Scale (AUFS): 2.00
Event Mark-triggered gradient; (with distance; auto start and stop)
Delay: No Delay
UV Wavelength: 254 nm
Samples / sec: 10 Hz
EM1 Speed: 0.30 mm/sec
Distance: 3.20 mm
Number: 30
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm
Total Distance: 96.00 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
0.00, 0.080244, 0, 0.000
0.03, 0.080298, , 
0.06, 0.080320, , 
0.09, 0.080291, , 
0.12, 0.080332, , 
0.15, 0.080355, , 
0.18, 0.080336, , 
0.21, 0.080294, , 
0.24, 0.080323, , 
0.27, 0.080329, , 
0.30, 0.080285, , 
0.33, 0.080278, , 
0.36, 0.080298, , 
0.39, 0.080304, , 
0.42, 0.080307, , 
0.45, 0.080443, , 
0.48, 0.080615, , 
0.51, 0.080789, , 
0.54, 0.081608, , 
0.57, 0.084890, , 
0.60, 0.094955, , 
0.63, 0.124537, , 
0.66, 0.163209, , 
0.69, 0.241657, , 
0.72, 0.325720, , 
0.75, 0.419124, , 
0.78, 0.534617, , 
0.81, 0.636563, , 
0.84, 0.740222, , 
0.87, 0.844401, , 
0.90, 0.949090, , 
0.93, 1.071714, , 
0.96, 1.177038, , 
0.99, 1.282483, , 
1.02, 1.405570, , 
1.05, 1.511110, , 
1.08, 1.615673, , 
1.11, 1.733228, , 
1.14, 1.824481, , 
1.17, 1.898939, , 
1.20, 1.952148, , 
1.23, 1.986167, , 
1.26, 2.008761, , 
1.29, 2.019212, , 
1.32, 2.024954, , 
1.35, 2.028376, , 
1.38, 2.030007, , 
1.41, 2.030961, , 
1.44, 2.031570, , 
1.47, 2.031853, , 
1.50, 2.032170, , 
1.53, 2.032420, , 
1.56, 2.032573, , 
1.60, 2.032668, , 
1.62, 2.032798, , 
1.65, 2.032925, , 
1.68, 2.032969, , 
1.71, 2.032985, , 
1.74, 2.033134, , 
1.77, 2.033245, , 
1.80, 2.033261, , 
1.83, 2.033264, , 
1.86, 2.033293, , 
1.89, 2.033400, , 
1.92, 2.033426, , 
1.95, 2.033400, , 
1.98, 2.033445, , 
2.01, 2.033524, , 
2.04, 2.033505, , 
2.07, 2.033508, , 
2.10, 2.033603, , 
2.13, 2.033670, , 
2.16, 2.033623, , 
2.19, 2.033591, , 
2.22, 2.033664, , 
2.25, 2.033692, , 
2.28, 2.033683, , 
2.31, 2.033667, , 
2.34, 2.033743, , 
2.37, 2.033768, , 
2.40, 2.033762, , 
2.43, 2.033765, , 
2.46, 2.033794, , 
2.49, 2.033791, , 
2.52, 2.033762, , 
2.55, 2.033832, , 
2.58, 2.033841, , 
2.61, 2.033829, , 
2.64, 2.033835, , 
2.67, 2.033841, , 
2.70, 2.033905, , 
2.73, 2.033917, , 
2.76, 2.033876, , 
2.79, 2.033819, , 
2.82, 2.033851, , 
2.85, 2.033851, , 
2.88, 2.033857, , 
2.91, 2.033892, , 
2.94, 2.033968, , 
2.97, 2.033940, , 
3.00, 2.033924, , 
3.04, 2.033962, , 
3.06, 2.033975, , 
3.09, 2.033924, , 
3.12, 2.033886, , 
3.15, 2.033902, , 
3.18, 2.033981, 1, 0.582
3.19, 2.033975, , 
3.21, 2.033943, , 
3.24, 2.033917, , 
3.27, 2.033956, , 
3.30, 2.034063, , 
3.33, 2.033952, , 
3.36, 2.033562, , 
3.39, 2.033010, , 
3.42, 2.032040, , 
3.45, 2.030625, , 
3.48, 2.028798, , 
3.51, 2.026137, , 
3.54, 2.023133, , 
3.57, 2.019482, , 
3.60, 2.014448, , 
3.63, 2.009548, , 
3.66, 2.004124, , 
