Gradient Profiler Text Data File: 20240906_yHG008_rep2_sample_4_30C.csv
Date: 2024-09-06
Time: 18:09:11

User: jared
Experiment name: 
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW28.1
Speed: 28 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 4
w2t:  x 10^0
Sample Volume: 18 ml
Number of Tubes: 6
Volume per mm: 0.183 ml/mm

Absorbance Units Full Scale (AUFS): 2.00
Event Mark-triggered gradient; (with distance; auto start and stop)
Delay: No Delay
UV Wavelength: 254 nm
Samples / sec: 10 Hz
EM1 Speed: 0.30 mm/sec
Distance: 3.20 mm
Number: 30
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm
Total Distance: 96.00 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
0.00, 0.060476, 0, 0.000
0.03, 0.060495, , 
0.06, 0.060540, , 
0.09, 0.060549, , 
0.12, 0.060559, , 
0.15, 0.060565, , 
0.18, 0.060549, , 
0.21, 0.060476, , 
0.24, 0.060508, , 
0.27, 0.060654, , 
0.30, 0.060774, , 
0.33, 0.060901, , 
0.36, 0.061038, , 
0.39, 0.061247, , 
0.42, 0.061358, , 
0.45, 0.061402, , 
0.48, 0.061517, , 
0.51, 0.061691, , 
0.54, 0.061995, , 
0.57, 0.063131, , 
0.60, 0.067124, , 
0.63, 0.080719, , 
0.66, 0.105540, , 
0.69, 0.151051, , 
0.72, 0.200701, , 
0.75, 0.246637, , 
0.78, 0.315132, , 
0.81, 0.376001, , 
0.84, 0.448299, , 
0.87, 0.510929, , 
0.90, 0.573771, , 
0.93, 0.647655, , 
0.96, 0.700804, , 
0.99, 0.775360, , 
1.02, 0.839437, , 
1.05, 0.903722, , 
1.08, 0.978529, , 
1.11, 1.041327, , 
1.14, 1.100021, , 
1.17, 1.149956, , 
1.20, 1.187414, , 
1.23, 1.215847, , 
1.26, 1.230784, , 
1.29, 1.241628, , 
1.32, 1.247823, , 
1.35, 1.252502, , 
1.38, 1.256924, , 
1.41, 1.259800, , 
1.44, 1.263071, , 
1.47, 1.266877, , 
1.50, 1.270138, , 
1.53, 1.273909, , 
1.56, 1.277135, , 
1.59, 1.280294, , 
1.62, 1.283441, , 
1.65, 1.286695, , 
1.68, 1.290578, , 
1.71, 1.293848, , 
1.74, 1.297077, , 
1.77, 1.300782, , 
1.80, 1.303916, , 
1.83, 1.306993, , 
1.86, 1.309984, , 
1.89, 1.312826, , 
1.92, 1.315772, , 
1.95, 1.317872, , 
1.98, 1.319997, , 
2.01, 1.321840, , 
2.04, 1.323429, , 
2.07, 1.325948, , 
2.10, 1.328333, , 
2.13, 1.331115, , 
2.16, 1.333297, , 
2.19, 1.335277, , 
2.22, 1.337396, , 
2.25, 1.339032, , 
2.28, 1.341494, , 
2.31, 1.343571, , 
2.34, 1.345503, , 
2.37, 1.347593, , 
2.40, 1.349363, , 
2.43, 1.351809, , 
2.46, 1.353953, , 
2.49, 1.356836, , 
2.52, 1.360183, , 
2.55, 1.362625, , 
2.58, 1.364855, , 
2.61, 1.366152, , 
2.64, 1.367795, , 
2.67, 1.369283, , 
2.70, 1.370733, , 
2.73, 1.372246, , 
2.76, 1.373169, , 
2.79, 1.373822, , 
2.82, 1.374225, , 
2.85, 1.374780, , 
2.88, 1.375532, , 
2.91, 1.376141, , 
2.94, 1.376696, , 
2.97, 1.376943, , 
3.00, 1.376931, , 
3.03, 1.376851, , 
3.06, 1.376807, , 
3.09, 1.376816, , 
3.12, 1.376693, , 
3.15, 1.376410, , 
3.18, 1.375827, , 
3.19, 1.375700, 1, 0.584
3.21, 1.375138, , 
3.24, 1.374463, , 
3.27, 1.373879, , 
3.30, 1.373245, , 
3.33, 1.372233, , 
3.36, 1.370999, , 
3.39, 1.369622, , 
3.42, 1.368214, , 
3.45, 1.366539, , 
3.48, 1.364998, , 
3.51, 1.362892, , 
3.55, 1.360842, , 
3.57, 1.358949, , 
3.60, 1.355993, , 
3.63, 1.353338, , 
3.66, 1.350175, , 
3.69, 1.347295, , 
3.72, 1.344142, , 
3.75, 1.340805, , 
3.78, 1.337338, , 
3.81, 1.333110, , 
3.84, 1.329332, , 
3.87, 1.325441, , 
3.90, 1.320711, , 
3.93, 1.316334, , 
3.96, 1.311703, , 
3.99, 1.306954, , 
4.02, 1.302063, , 
4.05, 1.296119, , 
4.08, 1.290774, , 
4.11, 1.284335, , 
4.14, 1.278639, , 
4.17, 1.272828, , 
4.20, 1.266928, , 
4.23, 1.259912, , 
4.26, 1.254830, , 
4.29, 1.247497, , 
4.32, 1.241045, , 
4.35, 1.234485, , 
4.38, 1.226606, , 
4.41, 1.219717, , 
4.45, 1.211631, , 
4.47, 1.205798, , 
4.50, 1.198785, , 
4.53, 1.190383, , 
4.56, 1.183021, , 
4.59, 1.174349, , 
4.62, 1.166856, , 
4.65, 1.159295, , 
4.68, 1.151638, , 
4.71, 1.143930, , 
4.74, 1.134766, , 
4.77, 1.126804, , 
4.80, 1.118916, , 
4.83, 1.109746, , 
4.86, 1.101756, , 
4.89, 1.093607, , 
4.92, 1.085350, , 
4.95, 1.076891, , 
4.98, 1.066817, , 
5.01, 1.058189, , 
5.04, 1.048236, , 
5.07, 1.039719, , 
5.10, 1.032604, , 
5.13, 1.022549, , 
5.16, 1.013823, , 
5.19, 1.003686, , 
5.22, 0.995068, , 
5.25, 0.986465, , 
5.28, 0.976299, , 
5.31, 0.968982, , 
5.34, 0.958530, , 
5.37, 0.949579, , 
5.40, 0.940796, , 
5.43, 0.930658, , 
5.46, 0.922097, , 
5.50, 0.912122, , 
5.52, 0.904975, , 
5.55, 0.896344, , 
5.58, 0.886242, , 
5.61, 0.877747, , 
5.64, 0.868060, , 
5.67, 0.859804, , 
5.70, 0.851519, , 
5.73, 0.843253, , 
5.76, 0.835085, , 
5.79, 0.825617, , 
5.82, 0.817509, , 
5.85, 0.809427, , 
5.88, 0.799978, , 
5.91, 0.791820, , 
5.94, 0.783614, , 
5.97, 0.775446, , 
6.00, 0.767354, , 
6.03, 0.757988, , 
6.06, 0.750140, , 
6.09, 0.741148, , 
6.12, 0.733523, , 
6.15, 0.727182, , 
6.18, 0.718269, , 
6.21, 0.710681, , 
6.24, 0.701740, , 
6.27, 0.693956, , 
6.30, 0.686235, , 
6.33, 0.677411, , 
6.36, 0.671226, , 
6.38, 0.665177, 2, 0.585
6.39, 0.662798, , 
6.42, 0.655778, , 
6.45, 0.648914, , 
6.48, 0.641064, , 
6.51, 0.634393, , 
6.55, 0.626765, , 
6.57, 0.621395, , 
6.60, 0.614937, , 
6.63, 0.607283, , 
6.66, 0.600961, , 
6.69, 0.593856, , 
6.72, 0.588054, , 
6.75, 0.582278, , 
6.78, 0.576322, , 
6.81, 0.570200, , 
6.84, 0.562958, , 
6.87, 0.556716, , 
6.90, 0.549557, , 
6.93, 0.544428, , 
6.96, 0.538303, , 
6.99, 0.531118, , 
7.02, 0.524974, , 
7.05, 0.517955, , 
7.08, 0.512023, , 
