Gradient Profiler Text Data File: 20240506_BY4742_30.csv
Date: 2024-05-06
Time: 16:21:06

User: jared
Experiment name: 
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW28.1
Speed: 28 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 4
w2t:  x 10^0
Sample Volume: 18 ml
Number of Tubes: 6
Volume per mm: 0.183 ml/mm

Absorbance Units Full Scale (AUFS): 2.00
Event Mark-triggered gradient; (with distance; auto start and stop)
Delay: No Delay
UV Wavelength: 254 nm
Samples / sec: 10 Hz
EM1 Speed: 0.30 mm/sec
Distance: 3.20 mm
Number: 30
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm
Total Distance: 96.00 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
0.00, 0.102745, 0, 0.000
0.03, 0.102790, , 
0.06, 0.102787, , 
0.09, 0.102748, , 
0.12, 0.102777, , 
0.15, 0.102796, , 
0.18, 0.102780, , 
0.21, 0.102806, , 
0.24, 0.102875, , 
0.27, 0.103031, , 
0.30, 0.103129, , 
0.33, 0.103205, , 
0.36, 0.103259, , 
0.39, 0.103256, , 
0.42, 0.103240, , 
0.45, 0.103256, , 
0.48, 0.103278, , 
0.51, 0.103291, , 
0.54, 0.103424, , 
0.57, 0.103706, , 
0.60, 0.104179, , 
0.63, 0.106295, , 
0.66, 0.112004, , 
0.69, 0.125916, , 
0.72, 0.157502, , 
0.75, 0.197761, , 
0.78, 0.247474, , 
0.81, 0.303510, , 
0.84, 0.363304, , 
0.87, 0.435472, , 
0.90, 0.498479, , 
0.93, 0.572731, , 
0.96, 0.637067, , 
0.99, 0.691123, , 
1.02, 0.767370, , 
1.05, 0.833204, , 
1.08, 0.910209, , 
1.11, 0.976147, , 
1.14, 1.041641, , 
1.18, 1.115627, , 
1.20, 1.164224, , 
1.23, 1.221093, , 
1.26, 1.256787, , 
1.29, 1.281173, , 
1.32, 1.298806, , 
1.35, 1.307830, , 
1.38, 1.313933, , 
1.41, 1.318516, , 
1.44, 1.322294, , 
1.47, 1.326037, , 
1.50, 1.328673, , 
1.53, 1.331014, , 
1.56, 1.332593, , 
1.59, 1.333767, , 
1.62, 1.335400, , 
1.65, 1.336945, , 
1.68, 1.338902, , 
1.71, 1.340691, , 
1.74, 1.342540, , 
1.77, 1.344659, , 
1.80, 1.346090, , 
1.83, 1.348174, , 
1.86, 1.350020, , 
1.89, 1.351761, , 
1.92, 1.353585, , 
1.95, 1.354841, , 
1.98, 1.355958, , 
2.01, 1.356605, , 
2.04, 1.357195, , 
2.07, 1.357753, , 
2.10, 1.358143, , 
2.13, 1.358305, , 
2.16, 1.358362, , 
2.19, 1.358207, , 
2.22, 1.357810, , 
2.25, 1.357185, , 
2.28, 1.356383, , 
2.31, 1.355247, , 
2.34, 1.354137, , 
2.37, 1.352573, , 
2.40, 1.351041, , 
2.43, 1.349538, , 
2.46, 1.348085, , 
2.50, 1.346315, , 
2.52, 1.344980, , 
2.55, 1.342892, , 
2.58, 1.340958, , 
2.61, 1.338572, , 
2.64, 1.336289, , 
2.67, 1.333811, , 
2.70, 1.331128, , 
2.73, 1.328114, , 
2.76, 1.324717, , 
2.79, 1.320340, , 
2.82, 1.316293, , 
2.85, 1.311934, , 
2.88, 1.307373, , 
2.91, 1.301724, , 
2.94, 1.296465, , 
2.97, 1.290876, , 
3.00, 1.284006, , 
3.03, 1.277941, , 
3.06, 1.271625, , 
3.09, 1.263914, , 
3.12, 1.258059, , 
3.15, 1.249501, , 
3.18, 1.241841, , 
3.19, 1.240515, 1, 0.583
3.21, 1.233857, , 
3.24, 1.224167, , 
3.27, 1.215628, , 
3.30, 1.208685, , 
3.33, 1.196378, , 
3.36, 1.188619, , 
3.39, 1.177527, , 
3.42, 1.167668, , 
3.45, 1.157642, , 
3.48, 1.146436, , 
3.51, 1.135546, , 
3.54, 1.123188, , 
3.58, 1.112363, , 
3.60, 1.103148, , 
3.63, 1.090663, , 
3.66, 1.078547, , 
3.69, 1.064945, , 
3.72, 1.053139, , 
3.75, 1.041254, , 
3.78, 1.030108, , 
3.81, 1.014895, , 
3.84, 1.004615, , 
3.87, 0.990234, , 
3.90, 0.977841, , 
3.93, 0.964043, , 
3.96, 0.950854, , 
3.99, 0.938430, , 
4.02, 0.923836, , 
4.05, 0.913343, , 
4.08, 0.899402, , 
4.11, 0.886137, , 
4.14, 0.873706, , 
4.17, 0.859372, , 
4.20, 0.847332, , 
4.23, 0.834105, , 
4.26, 0.823520, , 
4.29, 0.811809, , 
4.32, 0.798385, , 
4.35, 0.787122, , 
4.38, 0.774843, , 
4.41, 0.763282, , 
4.44, 0.752510, , 
4.47, 0.741909, , 
4.50, 0.731435, , 
4.53, 0.719940, , 
4.56, 0.709127, , 
4.59, 0.699050, , 
4.62, 0.687380, , 
4.66, 0.677563, , 
4.68, 0.668650, , 
4.71, 0.658351, , 
4.74, 0.648908, , 
4.77, 0.639589, , 
4.80, 0.628950, , 
4.83, 0.619986, , 
4.86, 0.611762, , 
4.89, 0.600755, , 
4.92, 0.592057, , 
4.95, 0.582069, , 
4.98, 0.575037, , 
5.01, 0.567408, , 
5.04, 0.557395, , 
5.07, 0.549512, , 
5.10, 0.540507, , 
5.13, 0.533079, , 
5.16, 0.526373, , 
5.19, 0.518779, , 
5.22, 0.510831, , 
5.25, 0.504217, , 
5.28, 0.497784, , 
5.31, 0.491885, , 
5.34, 0.485128, , 
5.37, 0.478118, , 
5.40, 0.472330, , 
5.43, 0.465719, , 
5.46, 0.460543, , 
5.49, 0.455455, , 
5.52, 0.449076, , 
5.55, 0.443516, , 
5.58, 0.437156, , 
5.61, 0.432217, , 
5.64, 0.426530, , 
5.67, 0.420304, , 
5.70, 0.415895, , 
5.73, 0.409855, , 
5.76, 0.405116, , 
5.79, 0.399695, , 
5.82, 0.393777, , 
5.85, 0.388717, , 
5.88, 0.383671, , 
5.91, 0.378961, , 
5.94, 0.373508, , 
5.97, 0.367748, , 
6.00, 0.362939, , 
6.03, 0.357442, , 
6.06, 0.353227, , 
6.09, 0.349109, , 
6.12, 0.344133, , 
6.15, 0.339958, , 
6.18, 0.335226, , 
6.21, 0.331642, , 
6.24, 0.327566, , 
6.27, 0.323160, , 
6.30, 0.320105, , 
6.33, 0.315902, , 
6.36, 0.312601, , 
6.39, 0.309318, 2, 0.585
6.39, 0.308766, , 
6.42, 0.304718, , 
6.45, 0.301353, , 
6.48, 0.297420, , 
6.51, 0.294860, , 
6.54, 0.291088, , 
6.57, 0.287073, , 
6.60, 0.283571, , 
6.63, 0.279447, , 
6.66, 0.275936, , 
6.69, 0.272761, , 
6.72, 0.268983, , 
6.75, 0.265434, , 
6.78, 0.261393, , 
6.81, 0.258069, , 
6.84, 0.254954, , 
6.87, 0.250665, , 
6.90, 0.247357, , 
6.93, 0.244204, , 
6.96, 0.241096, , 
6.99, 0.238292, , 
7.02, 0.235186, , 
7.05, 0.231897, , 
7.08, 0.229128, , 
7.11, 0.226035, , 
7.14, 0.223723, , 
7.17, 0.221055, , 
7.20, 0.218632, , 
7.23, 0.216301, , 
7.26, 0.213665, , 
7.29, 0.211622, , 
7.32, 0.209202, , 
7.35, 0.206696, , 
7.38, 0.204682, , 
7.41, 0.202585, , 
7.44, 0.200638, , 
7.47, 0.198430, , 
7.50, 0.196143, , 
7.53, 0.194179, , 
7.56, 0.191835, , 
7.59, 0.190037, , 
7.62, 0.188261, , 
7.65, 0.185961, , 
7.68, 0.183956, , 
7.71, 0.181717, , 
7.74, 0.179953, , 
7.77, 0.177927, , 
7.80, 0.175690, , 
7.83, 0.174146, , 
7.86, 0.172043, , 
7.89, 0.170355, , 
7.92, 0.168379, , 
7.95, 0.166346, , 
7.98, 0.164611, , 
8.01, 0.162939, , 
8.04, 0.161394, , 
8.07, 0.160030, , 
8.10, 0.158200, , 
8.13, 0.156706, , 
8.16, 0.155066, , 
8.19, 0.153712, , 
8.22, 0.152481, , 
8.25, 0.151035, , 
8.28, 0.149823, , 
8.31, 0.148662, , 
8.34, 0.147222, , 
8.37, 0.146141, , 
8.40, 0.144923, , 
8.43, 0.143670, , 
8.46, 0.142610, , 
8.49, 0.141510, , 
8.53, 0.140266, , 
8.55, 0.139492, , 
8.58, 0.138087, , 
8.61, 0.136980, , 
8.64, 0.135876, , 
8.67, 0.134655, , 
8.70, 0.133665, , 
8.73, 0.132676, , 
8.76, 0.131553, , 
8.79, 0.130424, , 
8.82, 0.129380, , 
8.85, 0.128314, , 
8.88, 0.127328, , 
8.91, 0.126195, , 
8.94, 0.125272, , 
8.97, 0.124324, , 
9.00, 0.123426, , 
9.03, 0.122484, , 
9.06, 0.121558, , 
9.09, 0.120667, , 
9.12, 0.119880, , 
9.15, 0.119011, , 
9.18, 0.118402, , 
9.21, 0.117447, , 
9.24, 0.116645, , 
9.27, 0.116112, , 
9.30, 0.115265, , 
9.33, 0.114745, , 
9.36, 0.114164, , 
9.39, 0.113206, , 
9.42, 0.112537, , 
9.45, 0.111880, , 
9.48, 0.111249, , 
9.51, 0.110650, , 
9.54, 0.109908, , 
9.57, 0.109305, , 
9.59, 0.109032, 3, 0.586
9.60, 0.108766, , 
9.63, 0.108087, , 
9.66, 0.107487, , 
9.69, 0.106891, , 
9.72, 0.106253, , 
9.75, 0.105594, , 
9.78, 0.104867, , 
9.81, 0.104296, , 
9.84, 0.103681, , 
9.87, 0.102974, , 
9.90, 0.102469, , 
9.93, 0.101997, , 
9.96, 0.101524, , 
9.99, 0.101004, , 
10.02, 0.100433, , 
10.05, 0.099872, , 
10.08, 0.099272, , 
10.11, 0.098758, , 
10.14, 0.098260, , 
10.17, 0.097832, , 
10.20, 0.097366, , 
10.23, 0.096874, , 
10.26, 0.096459, , 
10.29, 0.096030, , 
10.32, 0.095586, , 
10.35, 0.095098, , 
10.38, 0.094600, , 
10.41, 0.094184, , 
10.44, 0.093766, , 
10.47, 0.093226, , 
10.50, 0.092773, , 
10.53, 0.092348, , 
10.56, 0.091977, , 
10.59, 0.091441, , 
10.62, 0.090943, , 
10.65, 0.090575, , 
10.68, 0.090140, , 
10.71, 0.089788, , 
10.74, 0.089442, , 
10.77, 0.089166, , 
10.80, 0.088779, , 
10.83, 0.088291, , 
10.86, 0.087977, , 
10.89, 0.087641, , 
10.92, 0.087323, , 
10.95, 0.087022, , 
10.98, 0.086718, , 
11.01, 0.086476, , 
11.04, 0.086270, , 
11.07, 0.085947, , 
11.10, 0.085722, , 
11.13, 0.085538, , 
11.16, 0.085271, , 
11.19, 0.085021, , 
11.22, 0.084814, , 
11.25, 0.084713, , 
11.28, 0.084570, , 
11.31, 0.084339, , 
11.34, 0.084155, , 
11.37, 0.083891, , 
11.40, 0.083580, , 
11.43, 0.083276, , 
11.46, 0.082994, , 
11.49, 0.082718, , 
11.52, 0.082337, , 
11.55, 0.082064, , 
11.58, 0.081741, , 
11.61, 0.081503, , 
11.64, 0.081186, , 
11.67, 0.080849, , 
11.70, 0.080520, , 
11.73, 0.080117, , 
11.76, 0.079784, , 
11.79, 0.079552, , 
11.82, 0.079400, , 
11.85, 0.079273, , 
11.88, 0.079016, , 
11.91, 0.078823, , 
11.94, 0.078731, , 
11.97, 0.078578, , 
12.00, 0.078391, , 
12.03, 0.078242, , 
12.06, 0.078191, , 
12.09, 0.078156, , 
12.12, 0.078093, , 
12.15, 0.078093, , 
12.18, 0.078058, , 
12.22, 0.077928, , 
12.24, 0.077811, , 
12.27, 0.077671, , 
12.30, 0.077592, , 
12.33, 0.077475, , 
12.36, 0.077300, , 
12.39, 0.077176, , 
12.43, 0.077049, , 
12.45, 0.076919, , 
12.48, 0.076723, , 
12.51, 0.076637, , 
12.54, 0.076609, , 
12.57, 0.076551, , 
12.60, 0.076390, , 
12.63, 0.076291, , 
12.66, 0.076199, , 
12.69, 0.076126, , 
12.72, 0.076031, , 
12.75, 0.076073, , 
12.78, 0.076092, , 
12.79, 0.076085, 4, 0.586
12.81, 0.076111, , 
12.84, 0.076222, , 
12.87, 0.076374, , 
12.90, 0.076469, , 
12.93, 0.076472, , 
12.96, 0.076501, , 
12.99, 0.076640, , 
13.02, 0.076808, , 
13.05, 0.076881, , 
13.08, 0.076967, , 
13.11, 0.077075, , 
13.14, 0.077211, , 
13.17, 0.077373, , 
13.20, 0.077436, , 
13.24, 0.077538, , 
13.26, 0.077655, , 
13.29, 0.077766, , 
13.32, 0.077896, , 
13.35, 0.077982, , 
13.38, 0.077988, , 
13.41, 0.077982, , 
13.44, 0.078023, , 
13.47, 0.078030, , 
13.50, 0.078064, , 
13.53, 0.078188, , 
13.56, 0.078337, , 
13.59, 0.078423, , 
13.62, 0.078470, , 
13.65, 0.078499, , 
13.68, 0.078483, , 
13.71, 0.078616, , 
13.74, 0.078750, , 
13.77, 0.078829, , 
13.80, 0.078930, , 
13.83, 0.078978, , 
13.86, 0.079007, , 
13.89, 0.079086, , 
13.92, 0.079200, , 
13.95, 0.079333, , 
13.98, 0.079419, , 
