Gradient Profiler Text Data File: 20240506_BY4742_40.csv
Date: 2024-05-06
Time: 17:05:24

User: jared
Experiment name: 
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW28.1
Speed: 28 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 4
w2t:  x 10^0
Sample Volume: 18 ml
Number of Tubes: 6
Volume per mm: 0.183 ml/mm

Absorbance Units Full Scale (AUFS): 2.00
Event Mark-triggered gradient; (with distance; auto start and stop)
Delay: No Delay
UV Wavelength: 254 nm
Samples / sec: 10 Hz
EM1 Speed: 0.30 mm/sec
Distance: 3.20 mm
Number: 30
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm
Total Distance: 96.00 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
0.00, 0.095256, 0, 0.000
0.03, 0.095282, , 
0.06, 0.095285, , 
0.09, 0.095298, , 
0.12, 0.095336, , 
0.15, 0.095320, , 
0.18, 0.095294, , 
0.21, 0.095291, , 
0.24, 0.095291, , 
0.27, 0.095285, , 
0.30, 0.095215, , 
0.33, 0.095241, , 
0.36, 0.095294, , 
0.39, 0.095247, , 
0.42, 0.095206, , 
0.45, 0.095260, , 
0.48, 0.095301, , 
0.51, 0.095298, , 
0.54, 0.095285, , 
0.57, 0.095275, , 
0.60, 0.095561, , 
0.63, 0.097280, , 
0.66, 0.103389, , 
0.69, 0.118779, , 
0.72, 0.146470, , 
0.75, 0.192489, , 
0.78, 0.239598, , 
0.81, 0.299713, , 
0.84, 0.353617, , 
0.87, 0.399492, , 
0.90, 0.464682, , 
0.93, 0.521098, , 
0.96, 0.587601, , 
0.99, 0.645029, , 
1.02, 0.702755, , 
1.05, 0.770571, , 
1.08, 0.819086, , 
1.11, 0.887285, , 
1.14, 0.945414, , 
1.17, 1.001687, , 
1.20, 1.060048, , 
1.23, 1.098714, , 
1.26, 1.129409, , 
1.29, 1.143806, , 
1.32, 1.155682, , 
1.35, 1.165102, , 
1.38, 1.171116, , 
1.41, 1.176867, , 
1.44, 1.181095, , 
1.47, 1.184857, , 
1.50, 1.188261, , 
1.53, 1.191337, , 
1.56, 1.194484, , 
1.59, 1.196939, , 
1.62, 1.199328, , 
1.65, 1.201916, , 
1.68, 1.203870, , 
1.71, 1.205649, , 
1.74, 1.207210, , 
1.77, 1.208475, , 
1.80, 1.209465, , 
1.83, 1.209938, , 
1.86, 1.210026, , 
1.90, 1.209700, , 
1.92, 1.209103, , 
1.95, 1.207781, , 
1.98, 1.206166, , 
2.01, 1.203654, , 
2.04, 1.200856, , 
2.07, 1.197516, , 
2.11, 1.193145, , 
2.13, 1.189672, , 
2.16, 1.184321, , 
2.19, 1.179233, , 
2.22, 1.173743, , 
2.25, 1.166692, , 
2.28, 1.160008, , 
2.31, 1.152767, , 
2.34, 1.145094, , 
2.37, 1.136967, , 
2.40, 1.127046, , 
2.43, 1.118155, , 
2.46, 1.107519, , 
2.49, 1.098190, , 
2.52, 1.090207, , 
2.55, 1.078921, , 
2.58, 1.069091, , 
2.61, 1.057336, , 
2.64, 1.047103, , 
2.67, 1.036712, , 
2.70, 1.024598, , 
2.73, 1.015876, , 
2.76, 1.003660, , 
2.79, 0.993314, , 
2.82, 0.983116, , 
2.85, 0.971345, , 
2.88, 0.961366, , 
2.91, 0.949849, , 
2.94, 0.941665, , 
2.97, 0.931883, , 
3.00, 0.920492, , 
3.03, 0.910865, , 
3.06, 0.899818, , 
3.09, 0.890441, , 
3.12, 0.881103, , 
3.15, 0.871809, , 
3.18, 0.862528, , 
3.19, 0.859404, 1, 0.584
3.21, 0.851661, , 
3.24, 0.842472, , 
3.27, 0.833347, , 
3.30, 0.822841, , 
3.33, 0.813944, , 
3.36, 0.805094, , 
3.39, 0.796384, , 
