Gradient Profiler Text Data File: 20231116_MV_A_30C.csv
Date: 2023-11-16
Time: 17:27:55

User: jared
Experiment name: 20231116_BY4742_30
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW28.1
Speed: 28 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 4
w2t:  x 10^0
Sample Volume: 18 ml
Number of Tubes: 6
Volume per mm: 0.183 ml/mm

Absorbance Units Full Scale (AUFS): 2.00
Event Mark-triggered gradient; (with distance; auto start and stop)
Delay: No Delay
UV Wavelength: 254 nm
Samples / sec: 10 Hz
EM1 Speed: 0.30 mm/sec
Distance: 3.20 mm
Number: 30
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm
Total Distance: 96.00 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
0.00, 0.083346, 0, 0.000
0.03, 0.083365, , 
0.06, 0.083381, , 
0.09, 0.083409, , 
0.12, 0.083435, , 
0.15, 0.083419, , 
0.18, 0.083397, , 
0.21, 0.083473, , 
0.24, 0.083647, , 
0.27, 0.083898, , 
0.30, 0.084136, , 
0.33, 0.084415, , 
0.36, 0.084637, , 
0.39, 0.084890, , 
0.43, 0.085046, , 
0.45, 0.085170, , 
0.48, 0.085401, , 
0.51, 0.085699, , 
0.54, 0.086952, , 
0.57, 0.090679, , 
0.60, 0.100760, , 
0.63, 0.124124, , 
0.66, 0.167161, , 
0.69, 0.242139, , 
0.72, 0.322218, , 
0.75, 0.411362, , 
0.78, 0.521961, , 
0.81, 0.619656, , 
0.84, 0.719268, , 
0.87, 0.820101, , 
0.90, 0.921790, , 
0.93, 1.041365, , 
0.96, 1.144114, , 
0.99, 1.264146, , 
1.02, 1.366742, , 
1.05, 1.452036, , 
1.08, 1.570200, , 
1.11, 1.667902, , 
1.14, 1.771792, , 
1.17, 1.843973, , 
1.20, 1.896481, , 
1.23, 1.935727, , 
1.26, 1.953208, , 
1.29, 1.968538, , 
1.32, 1.976461, , 
1.35, 1.981666, , 
1.38, 1.985650, , 
1.41, 1.987994, , 
1.45, 1.990148, , 
1.47, 1.991572, , 
1.50, 1.993415, , 
1.53, 1.996114, , 
1.56, 1.998969, , 
1.59, 2.002576, , 
1.62, 2.005617, , 
1.65, 2.008196, , 
1.68, 2.011622, , 
1.71, 2.014255, , 
1.74, 2.016992, , 
1.77, 2.019089, , 
1.80, 2.021116, , 
1.83, 2.023326, , 
1.86, 2.024827, , 
1.89, 2.026930, , 
1.92, 2.028636, , 
1.95, 2.030076, , 
1.98, 2.031259, , 
2.01, 2.031776, , 
2.04, 2.031983, , 
2.07, 2.032002, , 
2.10, 2.032078, , 
2.13, 2.032116, , 
2.16, 2.032148, , 
2.19, 2.032163, , 
2.22, 2.032182, , 
2.25, 2.032230, , 
2.28, 2.032246, , 
2.31, 2.032274, , 
2.34, 2.032297, , 
2.37, 2.032281, , 
2.40, 2.032300, , 
2.43, 2.032347, , 
2.47, 2.032404, , 
2.49, 2.032604, , 
2.52, 2.032852, , 
2.55, 2.033178, , 
2.58, 2.033483, , 
2.61, 2.033661, , 
2.64, 2.033734, , 
2.67, 2.033534, , 
2.70, 2.033090, , 
2.73, 2.032246, , 
2.76, 2.031342, , 
2.79, 2.029965, , 
2.82, 2.028522, , 
2.85, 2.026771, , 
2.88, 2.024640, , 
2.91, 2.022077, , 
2.94, 2.019076, , 
2.97, 2.015098, , 
