Gradient Profiler Text Data File: 20240419_MV_I_40.csv
Date: 2024-04-19
Time: 15:44:31

User: jared
Experiment name: 
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW28.1
Speed: 28 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 4
w2t:  x 10^0
Sample Volume: 18 ml
Number of Tubes: 6
Volume per mm: 0.183 ml/mm

Absorbance Units Full Scale (AUFS): 2.00
Event Mark-triggered gradient; (with distance; auto start and stop)
Delay: No Delay
UV Wavelength: 254 nm
Samples / sec: 10 Hz
EM1 Speed: 0.30 mm/sec
Distance: 3.20 mm
Number: 30
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm
Total Distance: 96.00 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
0.00, 0.097194, 0, 0.000
0.03, 0.097267, , 
0.06, 0.097321, , 
0.09, 0.097223, , 
0.12, 0.097280, , 
0.15, 0.097337, , 
0.18, 0.097280, , 
0.21, 0.097236, , 
0.24, 0.097435, , 
0.27, 0.099326, , 
0.30, 0.102044, , 
0.33, 0.104109, , 
0.36, 0.105042, , 
0.39, 0.104788, , 
0.42, 0.103703, , 
0.45, 0.102844, , 
0.48, 0.102051, , 
0.51, 0.101216, , 
0.54, 0.100918, , 
0.57, 0.102117, , 
0.60, 0.107189, , 
0.63, 0.120489, , 
0.66, 0.146823, , 
0.69, 0.187442, , 
0.72, 0.248531, , 
0.75, 0.307954, , 
0.78, 0.370361, , 
0.81, 0.444058, , 
0.84, 0.508382, , 
0.87, 0.574291, , 
0.90, 0.641616, , 
0.93, 0.710098, , 
0.96, 0.790814, , 
0.99, 0.860286, , 
1.02, 0.941497, , 
1.05, 1.011016, , 
1.08, 1.079936, , 
1.11, 1.146975, , 
1.14, 1.209192, , 
1.17, 1.269405, , 
1.20, 1.306450, , 
1.23, 1.330611, , 
1.26, 1.347511, , 
1.29, 1.355006, , 
1.32, 1.361975, , 
1.35, 1.366044, , 
1.38, 1.369283, , 
1.41, 1.372677, , 
1.44, 1.375367, , 
1.47, 1.378206, , 
1.50, 1.380026, , 
1.53, 1.382294, , 
1.56, 1.385111, , 
1.59, 1.387668, , 
1.62, 1.390487, , 
1.65, 1.394262, , 
1.68, 1.397656, , 
1.71, 1.400844, , 
1.74, 1.404003, , 
1.77, 1.407648, , 
1.80, 1.410702, , 
1.83, 1.413570, , 
1.86, 1.416944, , 
1.89, 1.419853, , 
1.92, 1.421950, , 
1.95, 1.424319, , 
1.98, 1.425931, , 
2.01, 1.427593, , 
2.04, 1.428915, , 
2.07, 1.430152, , 
2.10, 1.431849, , 
2.13, 1.433140, , 
2.16, 1.434736, , 
2.19, 1.435878, , 
2.22, 1.437016, , 
2.25, 1.438450, , 
2.28, 1.439583, , 
2.31, 1.440908, , 
2.34, 1.442015, , 
2.37, 1.443354, , 
2.40, 1.444699, , 
2.43, 1.445803, , 
2.46, 1.447566, , 
2.49, 1.449419, , 
2.52, 1.451325, , 
2.55, 1.453225, , 
2.58, 1.455071, , 
2.61, 1.456844, , 
2.64, 1.457805, , 
2.67, 1.458529, , 
2.70, 1.459375, , 
2.73, 1.459864, , 
2.76, 1.460162, , 
2.79, 1.460387, , 
2.82, 1.460505, , 
2.85, 1.460419, , 
2.88, 1.460115, , 
2.91, 1.459651, , 
2.94, 1.459217, , 
2.97, 1.458652, , 
3.00, 1.457431, , 
3.03, 1.456327, , 
3.06, 1.454976, , 
3.09, 1.453679, , 
3.12, 1.452137, , 
3.15, 1.450174, , 
3.18, 1.448600, , 
3.19, 1.447912, 1, 0.584
3.21, 1.446037, , 
3.24, 1.443560, , 
3.27, 1.440902, , 
3.30, 1.437572, , 
3.33, 1.434295, , 
3.36, 1.430010, , 
3.39, 1.426746, , 
3.42, 1.422632, , 
3.45, 1.417309, , 
3.48, 1.412523, , 
3.51, 1.406721, , 
3.54, 1.401465, , 
3.57, 1.395667, , 
3.60, 1.389422, , 
3.63, 1.382976, , 
3.66, 1.375183, , 
3.69, 1.368046, , 
3.72, 1.360627, , 
3.75, 1.351571, , 
