Gradient Profiler Text Data File: 2025_1_28_C3_SH.csv
Date: 2025-01-28
Time: 17:53:28

User: Jared
Experiment name: 
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW28.1
Speed: 28 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 4
w2t:  x 10^0
Sample Volume: 18 ml
Number of Tubes: 6
Volume per mm: 0.183 ml/mm

Absorbance Units Full Scale (AUFS): 2.00
Event Mark-triggered gradient; (with distance; auto start and stop)
Delay: No Delay
UV Wavelength: 254 nm
Samples / sec: 10 Hz
EM1 Speed: 0.30 mm/sec
Distance: 3.20 mm
Number: 30
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm
Total Distance: 96.00 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
0.00, 0.072491, 0, 0.000
0.03, 0.072463, , 
0.06, 0.072482, , 
0.09, 0.072488, , 
0.12, 0.072418, , 
0.15, 0.072355, , 
0.18, 0.072418, , 
0.21, 0.072463, , 
0.24, 0.072425, , 
0.27, 0.072358, , 
0.30, 0.072485, , 
0.33, 0.072361, , 
0.36, 0.072276, , 
0.39, 0.072365, , 
0.42, 0.072463, , 
0.45, 0.072349, , 
0.48, 0.072200, , 
0.51, 0.072114, , 
0.54, 0.072082, , 
0.57, 0.071978, , 
0.60, 0.071952, , 
0.63, 0.071936, , 
0.66, 0.071962, , 
0.69, 0.071901, , 
0.72, 0.071822, , 
0.75, 0.071917, , 
0.78, 0.072063, , 
0.81, 0.073313, , 
0.84, 0.079466, , 
0.87, 0.098022, , 
0.90, 0.137002, , 
0.93, 0.198179, , 
0.96, 0.291479, , 
0.99, 0.383404, , 
1.02, 0.498273, , 
1.05, 0.599581, , 
1.08, 0.702222, , 
1.11, 0.804828, , 
1.14, 0.907056, , 
1.17, 1.025461, , 
1.20, 1.126519, , 
1.23, 1.244442, , 
1.26, 1.345573, , 
1.29, 1.429829, , 
1.32, 1.547996, , 
1.35, 1.647522, , 
1.38, 1.755393, , 
1.41, 1.831653, , 
1.44, 1.886740, , 
1.47, 1.926186, , 
1.50, 1.944133, , 
1.53, 1.952107, , 
1.56, 1.957211, , 
1.59, 1.959000, , 
1.62, 1.960059, , 
1.65, 1.961556, , 
1.68, 1.963815, , 
1.71, 1.966682, , 
1.74, 1.970457, , 
1.77, 1.973930, , 
1.80, 1.977584, , 
1.83, 1.981197, , 
1.87, 1.985108, , 
1.89, 1.988178, , 
1.92, 1.991157, , 
1.95, 1.994348, , 
1.98, 1.996463, , 
2.01, 1.999010, , 
2.04, 2.001136, , 
2.07, 2.003083, , 
2.10, 2.005091, , 
2.13, 2.006645, , 
2.16, 2.008437, , 
2.19, 2.009532, , 
2.22, 2.010639, , 
2.25, 2.011803, , 
2.28, 2.012694, , 
2.31, 2.013551, , 
2.34, 2.013944, , 
2.37, 2.014271, , 
2.40, 2.014489, , 
2.43, 2.014464, , 
2.46, 2.014166, , 
2.49, 2.013769, , 
2.52, 2.013370, , 
2.55, 2.012685, , 
2.58, 2.011460, , 
2.61, 2.010185, , 
2.64, 2.008815, , 
2.67, 2.006997, , 
2.70, 2.005367, , 
2.73, 2.002921, , 
2.76, 2.000641, , 
2.79, 1.998163, , 
2.82, 1.995166, , 
2.85, 1.991642, , 
2.88, 1.988327, , 
2.91, 1.984007, , 
2.94, 1.979925, , 
2.97, 1.975674, , 
3.00, 1.971281, , 
